ptype,adapter,human_readable_profile,layer,target_module,matrix_rows,matrix_columns,rank,lora_alpha,scale,a_norm,b_norm,effective_update_frobenius_norm,effective_update_spectral_norm,spectral_to_frobenius_ratio
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,3,v_proj,1024,4096,16,32.0,2.0,3.3180730441353026,0.8143804132073716,1.609867543099767,1.0330880507452238,0.6417223921143437
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,4,down_proj,4096,14336,16,32.0,2.0,5.338154219208131,1.999831206436142,6.874995962352789,5.319901461939254,0.7738043034600788
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,4,gate_proj,14336,4096,16,32.0,2.0,3.6120292814763273,4.186125087543868,10.057672998487089,7.858842870692203,0.7813778467319785
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,4,k_proj,1024,4096,16,32.0,2.0,3.3148507487249694,0.8834051841001728,1.7062101786600243,1.0494974570484565,0.6151044403408035
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,4,o_proj,4096,4096,16,32.0,2.0,3.172221853874324,1.8961243040539921,3.4721548745391226,2.291253718636588,0.6598938703564363
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,4,q_proj,4096,4096,16,32.0,2.0,3.2800804645740147,1.8462308027051262,3.2781139726022053,1.55399206037425,0.4740506502709157
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,4,up_proj,14336,4096,16,32.0,2.0,3.3874159064077465,3.9433844015221893,7.319774751720598,4.155965754763527,0.5677723558073449
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,4,v_proj,1024,4096,16,32.0,2.0,3.3757996169012854,0.8464162183895935,1.7803543288960353,1.2343201292949637,0.693300265717523
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,5,down_proj,4096,14336,16,32.0,2.0,5.291563105898334,2.0111938154813194,6.79936950302435,5.009739890221024,0.7367947701610713
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,5,gate_proj,14336,4096,16,32.0,2.0,3.5091838860776634,4.079163754265173,9.363170207157484,7.279730215874364,0.7774856223706713
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,5,k_proj,1024,4096,16,32.0,2.0,3.287300397688921,0.9572683976150267,1.8328027056070866,1.075134097908668,0.5866065641541854
0,ptype_0,Openness low; Conscientiousness low; Extraversion low; Agreeableness low; Neuroticism low,5,o_proj,4096,4096,16,32.0,2.0,3.165311672448196,1.937890928733357,3.3762846217583173,1.9789197527983011,0.5861234980147231
