ptype,profile,neighbor_rank,neighbor_ptype,neighbor_profile,distance,cosine
5,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,36.70362489265703,0.02986248852655279
5,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,5,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,39.70331743199605,0.030161332357285194
6,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,1,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,58.0363019451836,0.01887839567491459
6,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,2,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,58.04471102251489,0.018044886205110744
6,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,60.94685503447336,0.02153569926867564
6,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,61.40332427685004,0.022646237916463287
6,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,5,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,63.20541085191446,0.02299906872773614
7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,1,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,4.747622575977821,0.09850052451866464
7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,2,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,20.215790484787426,0.029706673849188108
7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,3,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,21.67786299752792,0.03513584071924161
7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,4,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,26.597829169085408,0.03498598767209414
7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,5,5,Openness low; Conscientiousness low; Extraversion high; Agreeableness low; Neuroticism high,30.492100546402895,0.025373029134938857
8,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,1,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,97.82502169044605,0.010198510442782936
8,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,2,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,97.82913384534521,0.009983567251875883
8,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,99.58282058372164,0.012420669325326662
8,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,99.81947794164333,0.015160823812355981
8,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism low,5,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,100.92817081918781,0.015428945104173301
9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,1,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,131.63875140927877,0.0006037683590684429
9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,2,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,131.6422072429887,0.0005823169438340689
9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,133.0653898755157,0.002207267539278022
9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,133.2836052595437,0.0028037488567512745
9,Openness low; Conscientiousness high; Extraversion low; Agreeableness low; Neuroticism high,5,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,134.14995090581778,0.0032829475574276453
10,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low,1,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,121.90364829798128,0.0006068239723499087
10,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low,2,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,121.90689813166907,0.000719234700383174
10,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,123.43851328760275,0.0025951519654926255
10,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,123.68334162767486,0.002770580256368557
10,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism low,5,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,124.6147221784975,0.0034029376435094558
11,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high,1,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,73.38881826880224,0.015705351598033965
11,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high,2,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,73.3976730042407,0.01440569259555584
11,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,75.71562621898971,0.01694632269938932
11,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,76.02248879709957,0.020770834647618565
11,Openness low; Conscientiousness high; Extraversion low; Agreeableness high; Neuroticism high,5,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,77.47806624631234,0.02080083046462698
12,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low,1,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,68.55844079566086,0.015999225670564138
12,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low,2,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,68.56352269341055,0.015859188566010027
12,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,71.05632211224209,0.01734346186739481
12,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,71.41439928176173,0.019983845596318023
12,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low,5,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,72.97774763590853,0.01980430974906374
13,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high,1,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,49.76575768702582,0.01678890757339383
13,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high,2,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,49.76704638423234,0.018373355835146498
13,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,53.21839724710476,0.019567952429588583
13,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,53.624321978372166,0.027085204648026877
13,Openness low; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high,5,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,55.74806941115653,0.024440303083235828
14,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism low,1,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,54.662055302348634,0.019450193206908155
14,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism low,2,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,54.66967366681108,0.018950650324006772
14,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism low,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,57.79838725257143,0.019834993442999382
14,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism low,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,58.22662114707818,0.02384752383287926
14,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism low,5,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,60.11593093582654,0.02459481039983979
15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,1,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,26.597829169085408,0.03498598767209414
