ptype,profile,neighbor_rank,neighbor_ptype,neighbor_profile,distance,cosine
28,Openness high; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low,2,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,60.58706810921604,0.017001639110237665
28,Openness high; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,63.40968089807832,0.018655532776649712
28,Openness high; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,63.816414267964355,0.021431452378043656
28,Openness high; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism low,5,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,65.53012028802418,0.02272102816394329
29,Openness high; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high,1,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,57.96630517345674,0.01854053121935888
29,Openness high; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high,2,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,57.96733162888672,0.016668756982164443
29,Openness high; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,60.90049606173565,0.020162578326702745
29,Openness high; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,61.35680322521149,0.021397339733130336
29,Openness high; Conscientiousness high; Extraversion high; Agreeableness low; Neuroticism high,5,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,63.15726382338899,0.02211220361779736
30,Openness high; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism low,1,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,61.076184803511694,0.017030795014149214
30,Openness high; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism low,2,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,61.07649020736631,0.018407922172284614
30,Openness high; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism low,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,63.845074076017056,0.020475462668524916
30,Openness high; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism low,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,64.28428105738995,0.021367646011290566
30,Openness high; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism low,5,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,65.97923758543293,0.022895397260918514
31,Openness high; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,1,23,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,65.62513606576202,0.014795441540581966
31,Openness high; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,2,7,Openness low; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism high,65.62622767323542,0.01303033614739031
31,Openness high; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,3,22,Openness high; Conscientiousness low; Extraversion high; Agreeableness high; Neuroticism low,68.23433544255973,0.017338001100796613
31,Openness high; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,4,18,Openness high; Conscientiousness low; Extraversion low; Agreeableness high; Neuroticism low,68.56558288351353,0.022171483474468
31,Openness high; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,5,15,Openness low; Conscientiousness high; Extraversion high; Agreeableness high; Neuroticism high,70.24192023518874,0.01974080104946422
