layer,target_module,mean_frobenius,median_frobenius,mean_spectral_to_frobenius,median_spectral_to_frobenius
0,down_proj,5.261112809822858,5.437142422439658,0.8376056469632748,0.8592742680872267
0,gate_proj,6.373648226638046,6.191962316475587,0.7160028644461068,0.7343255082817911
0,k_proj,1.8204256944284312,1.6893205153739834,0.8047069385016645,0.8339561499122758
0,o_proj,2.1891393612185537,2.2167929587702977,0.7910307614509697,0.8089409441735338
0,q_proj,3.6982259710853542,3.528354368766474,0.7898228219558424,0.8191087654657305
0,up_proj,5.7331489137170655,5.562380965347494,0.642078690334279,0.6559826652682296
0,v_proj,0.9657555856370467,0.9480550672389271,0.7158377999784231,0.7132249823233915
1,down_proj,4.997434716935041,4.8788807018777245,0.9796822846185661,0.9874412664862446
1,gate_proj,6.174307533510773,5.88790377035949,0.6890728673253075,0.7142733928143195
1,k_proj,0.9964803361869904,0.9177463992445317,0.5560708323972987,0.5562871900878354
1,o_proj,2.4522481843799566,2.4779065172950663,0.6856714023202917,0.6884218096427687
1,q_proj,2.202167535107879,2.140067512265115,0.6144878696459807,0.6091722092578216
1,up_proj,5.714061910826427,5.622942271891771,0.6654850052191531,0.682038075306295
1,v_proj,1.0599471656699788,1.0662953825255572,0.6351681233566739,0.6220236617310999
2,down_proj,5.154872082114501,5.300126163573967,0.8117186141993485,0.8475643261141009
2,gate_proj,6.456908870103004,6.494713258802353,0.7913249815842631,0.8137296590040155
2,k_proj,1.1850046026114431,1.1603519639042414,0.5364770525394625,0.538528008713385
2,o_proj,2.4829597575618374,2.444494067417663,0.7366577634527538,0.7394727397289295
2,q_proj,2.2949739793029926,2.2347178695722407,0.5040126159715489,0.5033374606821681
2,up_proj,5.627516844170683,5.68337740028095,0.6846746464381619,0.6901647100190036
2,v_proj,1.099778710800138,1.0614188992070168,0.7221465653855034,0.7283606177288895
3,down_proj,4.950685502375336,5.111523000214845,0.8117299158748473,0.8380652335331258
3,gate_proj,6.71831944017875,6.879079447395865,0.8029412203409977,0.8294213422326424
3,k_proj,1.1877305422152753,1.1747809327834837,0.553573882708458,0.5540576378447939
3,o_proj,2.4647964595431597,2.459918101364147,0.6469486558668437,0.6574140668752271
3,q_proj,2.2800384028935445,2.2600970598529972,0.49079642793729944,0.48803770174881944
3,up_proj,5.417420675812541,5.5769295538509,0.6553586911037294,0.67600582540101
3,v_proj,1.1169462493816271,1.0970961952407983,0.7057190805213175,0.7209607425026849
4,down_proj,4.65386265924134,4.81290897719591,0.7989930678986227,0.8358129954943609
4,gate_proj,6.54096156725544,6.610065456985917,0.7776110409491311,0.801103000546239
4,k_proj,1.224189153294408,1.1798542075422005,0.638524069574112,0.6292006444912743
4,o_proj,2.4093400615625447,2.4691127484844477,0.672992358284607,0.6684164725692122
4,q_proj,2.2719790872185617,2.214168543886994,0.5149564059929214,0.49469457243788467
4,up_proj,4.983248558727043,5.048645984049326,0.591516108322217,0.5952756949066026
4,v_proj,1.2099892190527717,1.1877375642869734,0.7393952872650656,0.7462244071371763
5,down_proj,4.46177514944386,4.452221334963971,0.7578766589285365,0.7735648734104379
5,gate_proj,6.354071955663756,6.347454763241325,0.7623102823674786,0.791865159136924
5,k_proj,1.215111069669222,1.1626280934933464,0.5563568947905327,0.5629074764438604
5,o_proj,2.320473801421357,2.3485295187423794,0.6032639109753951,0.6151788970827251
5,q_proj,2.3069853591864864,2.2778912955752255,0.5349122198264229,0.5265830767851611
5,up_proj,4.975167431024248,4.992766533590453,0.6219064160066999,0.6393093853724479
5,v_proj,1.1671964240856916,1.1518113275482713,0.7734278545714679,0.786715216429344
6,down_proj,4.320317354008597,4.406911131794799,0.7634903405770515,0.7749328228603798
6,gate_proj,6.446399758058486,6.384314575680296,0.7920832917214933,0.8129821544588915
6,k_proj,1.2283415067954848,1.1714231283778695,0.5458636149008481,0.5323082650565323
6,o_proj,2.348053238187633,2.4087117794560644,0.5827733583469527,0.5742792697714232
6,q_proj,2.314739005220401,2.3006389391223188,0.5197621656688755,0.5248135921495785
6,up_proj,4.82321908604446,4.904105191019067,0.6109816310011182,0.6097747665925138
6,v_proj,1.09145851917083,1.0823055658224638,0.6441660384765486,0.6496538524678557
7,down_proj,4.282412550330203,4.293034818392168,0.7389034177523323,0.7539260419970787
