layer,target_module,matrix_shape,aggregate_update_frobenius_norm,mean_profile_update_frobenius_norm,profile_kernel_effective_rank,kernel_top_eigenvalue_fraction
0,down_proj,4096x14336,33.65171467989582,5.261112757857464,21.124792662404026,0.1127943396893765
0,gate_proj,14336x4096,41.49794629125596,6.373648181301419,19.532447022882256,0.1297994348188383
0,k_proj,1024x4096,12.246848645244874,1.8204256857182095,16.932962575027332,0.1508832930763563
0,o_proj,4096x4096,13.542058022984762,2.1891393405918134,23.039089165350838,0.11082625161642495
0,q_proj,4096x4096,24.373987247980153,3.698225957728308,18.420813470300345,0.18142216355489152
0,up_proj,14336x4096,37.207631772318905,5.733148892602054,19.734602655504688,0.13255088356183858
0,v_proj,1024x4096,6.064751428985964,0.9657555885132696,21.286197997007914,0.12304632365423528
1,down_proj,4096x14336,31.734534584622715,4.9974347468245774,21.4162920077993,0.10252561724046892
1,gate_proj,14336x4096,39.96064505549318,6.174307524702417,20.005484432595463,0.12822640015502357
1,k_proj,1024x4096,6.377174280137689,0.9964803361381883,20.200233771873666,0.14115708339330174
1,o_proj,4096x4096,15.40221223731495,2.452248193339816,22.025001563714348,0.11139833222780367
1,q_proj,4096x4096,14.020579999023267,2.2021675130444898,20.616556769564692,0.1336220631202416
1,up_proj,14336x4096,36.885954423774415,5.714061894848209,20.157563831459903,0.12910649119615242
1,v_proj,1024x4096,6.673712360158401,1.0599471719564475,21.573875281843375,0.11761912791560988
2,down_proj,4096x14336,33.13485612010881,5.154872068650513,20.81006417326388,0.1157082081071473
2,gate_proj,14336x4096,41.285675037718306,6.456908855762733,20.83048979261085,0.1215847564142173
2,k_proj,1024x4096,7.700960865559607,1.1850045996582592,19.319839288338812,0.15144876256567275
2,o_proj,4096x4096,15.76967384244618,2.4829597548068034,21.094052433266793,0.12415436945536891
2,q_proj,4096x4096,14.839127684977527,2.2949739649614287,19.707786700594113,0.1472660866613607
2,up_proj,14336x4096,36.11935215999819,5.6275167938436255,20.51583639537036,0.125204372499558
2,v_proj,1024x4096,6.943520992613951,1.0997787122373208,21.30998998314665,0.12022543294091126
3,down_proj,4096x14336,31.786750533602568,4.950685532794275,20.84015461157601,0.11866573418277349
3,gate_proj,14336x4096,42.997149526852375,6.718319448550863,20.94788156878801,0.11619590823716427
3,k_proj,1024x4096,7.683140366059536,1.1877305326784913,19.707103013372897,0.14828434629458548
3,o_proj,4096x4096,15.611780895748394,2.4647964570483065,21.446671841629882,0.11672528529825461
3,q_proj,4096x4096,14.618065118056629,2.2800383903752266,20.34429286606864,0.1396430078973842
3,up_proj,14336x4096,34.65940007270867,5.4174206874607105,20.783544281321053,0.12445049063293064
3,v_proj,1024x4096,7.031534520723979,1.1169462398848609,21.561916721828947,0.1158931308733667
