representation,conditions,observed_median,null_median_mean,null_median_sd,null_median_q025,null_median_q975,p_upper,z
activation,192,0.20074520218598751,0.16048755,0.010847218,0.14047493,0.1823474,0.0004997501249375312,3.7113344110051507
logits,3,0.26531536056961974,0.16014501,0.020831447,0.12625092,0.20968266,0.0004997501249375312,5.0486337107144275
weights,32,0.1619926073249916,0.16127963,0.00019911275,0.16095464,0.1617363,0.001999000499750125,3.580753534386615
