subset,pearson_r
exposure_quartile_1,-0.19480112538939712
rows_ge_1000,0.02961584486571714
rows_ge_10000,0.02961584486571714
unique_tuples_ge_10,0.037217724726524404
unique_tuples_ge_25,0.03761480127369405
exposure_quartile_3,0.04989516820858548
rows_ge_50000,0.05455614399002641
all_32,0.05872745469099791
exposure_quartile_2,0.08259671191030785
pair_row_ratio_le_2_0,0.09292279208448977
pair_row_ratio_le_1_5,0.10592172677272906
exposure_quartile_4,0.24101737852458488
