ptype_a,ptype_b,distance
0,1,21.218067194686363
0,2,16.962904750906237
0,3,16.278757407865132
0,4,18.55445562980063
0,5,15.850901377576486
0,6,17.99873449159326
0,7,15.006566525615053
0,8,22.706907262252628
0,9,27.595653691587465
0,10,26.155047847389255
0,11,19.638280429269308
0,12,19.11823922014297
0,13,17.252191030422054
0,14,17.687235468799102
0,15,15.636870507599554
0,16,16.946001221368824
0,17,20.43073709696598
0,18,15.410673031621736
0,19,15.979267059063634
0,20,17.07920178195812
0,21,15.984930649818214
0,22,15.360924407315197
0,23,15.007624190497367
0,24,20.145029423361578
0,25,24.289707608460553
0,26,17.988617956469533
0,27,16.250244050245474
0,28,18.259303084718777
0,29,18.006987283080154
0,30,18.305090413724514
0,31,18.811944577173456
1,2,17.2077857196872
1,3,16.513956989457608
1,4,18.795228264497
1,5,16.10222410017689
1,6,18.250128804954485
1,7,15.272460297270612
1,8,22.884777852854917
1,9,27.741721867648412
1,10,26.316134982967004
1,11,19.855521710242247
1,12,19.338296188589133
1,13,17.489857191148687
1,14,17.92277165880634
1,15,15.891064238823372
1,16,17.19064887171665
1,17,20.641643475430545
1,18,15.67253967762131
1,19,16.22518301693808
1,20,17.31751165012467
1,21,16.248485774021276
1,22,15.623937335172194
1,23,15.273218789559381
1,24,20.363459070896692
1,25,24.460864953449107
1,26,18.22071494944493
1,27,16.486372606058048
1,28,18.49871484759482
1,29,18.228316857076422
1,30,18.53186697466052
1,31,19.027612393222082
2,3,10.379934404805075
2,4,13.710605539160602
2,5,9.671946319986406
2,6,12.935191189214938
2,7,8.189241723353927
2,8,18.98226775681465
2,9,24.591489685790666
2,10,22.955875943059667
2,11,15.165584166099013
2,12,14.456476395436114
2,13,11.867086507954804
2,14,12.491990393237058
2,15,9.317719502039413
2,16,11.447701381891077
2,17,16.18863539990382
2,18,8.932330371619415
2,19,9.894739540655076
2,20,11.64032223315675
2,21,9.925113960870268
2,22,8.838888571890289
2,23,8.190641402277766
2,24,15.81631157663128
2,25,20.828130493789452
2,26,12.935233183392098
2,27,10.332274914933258
2,28,13.300390192510003
2,29,12.947674208960974
2,30,13.373392518772135
2,31,14.030416088905682
3,4,12.882641760924292
3,5,8.361998914913466
3,6,12.054513027219667
3,7,6.575687977171809
3,8,18.37423737720098
3,9,24.109077192810137
3,10,22.44125295879189
3,11,14.401947512524032
3,12,13.659122973805292
3,13,10.83047481703727
3,14,11.53973636854984
3,15,7.944463184109604
3,16,10.385355797530371
3,17,15.472465005353286
3,18,7.482331189132003
3,19,8.604543855959138
3,20,10.571013990160157
3,21,8.647510649641008
3,22,7.3748162401986646
3,23,6.575382556472813
3,24,15.100073233849766
3,25,20.252936955009723
3,26,12.003753969442354
3,27,9.076910548217624
3,28,12.431604341006253
3,29,12.020029126716771
3,30,12.475229500474326
3,31,13.186131461887468
4,5,12.321950126984776
4,6,14.975106367299743
4,7,11.20542876821941
4,8,20.418319734112803
4,9,25.73685582382422
4,10,24.182375392236633
4,11,16.9310569074919
4,12,16.322586344175125
4,13,14.093339165687748
4,14,14.617749167101863
4,15,12.040536161743356
4,16,13.733161467195496
4,17,17.853144708425972
4,18,11.747434413706099
4,19,12.492394637699032
4,20,13.891864897131166
4,21,12.5016804102699
4,22,11.682349070068419
4,23,11.20742440423478
4,24,17.519764959136133
4,25,22.171641272394655
4,26,14.994334160511283
4,27,12.843014900554184
4,28,15.281535106524302
4,29,15.013692533225756
4,30,15.3739057874326
4,31,15.960375611690763
5,6,11.452826705747698
5,7,5.381593519787423
5,8,17.99642046453627
5,9,23.81826690698691
5,10,22.125509855100763
5,11,13.91651981331525
5,12,13.135903938735048
5,13,10.181990036983416
5,14,10.925417141886527
5,15,7.006377242162019
5,16,9.682462576636071
5,17,15.022745063720812
5,18,6.477884566803501
5,19,7.747752917785439
5,20,9.897018196459447
5,21,7.78655613154515
5,22,6.326230948827441
5,23,5.378650550090075
5,24,14.627112604374895
5,25,19.906593515242736
5,26,11.414743441127209
5,27,8.319204242662385
5,28,11.852509839140946
5,29,11.437360770609406
5,30,11.918719226740116
5,31,12.650268155980303
6,7,10.239033725088658
6,8,19.92339668343309
6,9,25.33412742546571
6,10,23.75128618501227
6,11,16.317619760353033
6,12,15.687675386491744
6,13,13.343575265187646
6,14,13.901653407377054
6,15,11.152284782322711
6,16,12.974175091665817
6,17,17.27133264457771
6,18,10.833703795192038
6,19,11.634099560432315
6,20,13.148830348593716
6,21,11.641670098508106
6,22,10.753726124989676
6,23,10.24046586567343
6,24,16.924194141895995
6,25,21.701592581406445
6,26,14.281969207144007
6,27,12.007177377565744
6,28,14.61072659590991
6,29,14.307741904773378
6,30,14.678736938316115
6,31,15.296646663755594
7,8,17.257488076030846
7,9,23.230109801775974
7,10,21.491712101607344
7,11,12.945578355759006
7,12,12.101494754238459
7,13,8.780869866500232
7,14,9.641117721077691
7,15,4.693094715710702
7,16,8.191139265587001
7,17,14.123478072590757
7,18,3.8261669413691726
7,19,5.752663196095323
7,20,8.455498446150514
7,21,5.814950461927237
7,22,3.5699587433435185
7,23,0.839237848589946
7,24,13.707531115935259
7,25,19.199361163112194
7,26,10.196309709415702
7,27,6.5307667130128735
7,28,10.686210727135174
7,29,10.225845915468412
7,30,10.771579393043817
7,31,11.572021629247889
8,9,28.87370629285538
8,10,27.50458832870205
8,11,21.40750430117854
8,12,20.928907585335086
8,13,19.24210012202717
8,14,19.633344789306502
8,15,17.806316788673453
8,16,18.990931907924754
8,17,22.14542245158463
8,18,17.610194100372503
8,19,18.105459325190708
8,20,19.107264764284878
8,21,18.12824727645834
8,22,17.568736648133353
8,23,17.25819451080154
8,24,21.87942904450163
8,25,25.74997415069545
8,26,19.90603935970264
8,27,18.34433292947745
8,28,20.15156932707412
8,29,19.923632222399107
8,30,20.195416439225568
8,31,20.645641843680846
9,10,31.57803173623032
9,11,26.52699369837609
9,12,26.140171501255086
9,13,24.792981289257547
9,14,25.10815056867607
9,15,23.67372934677128
9,16,24.59653687614771
9,17,27.12570310511668
9,18,23.52070617271343
9,19,23.903284882676513
9,20,24.682913317228348
9,21,23.91753063416218
9,22,23.482531792756873
9,23,23.2307110788233
9,24,26.911407924950254
9,25,30.059828609398892
9,26,25.323619373775937
9,27,24.095395725177188
9,28,25.513797899491482
9,29,25.332321876439774
9,30,25.554418510407654
9,31,25.908857015883058
10,11,25.029626472691092
10,12,24.61285077890339
10,13,23.175830861063726
10,14,23.51042699624963
10,15,21.97126777595498
10,16,22.964606811014193
10,17,25.660562891227944
10,18,21.806574291968623
10,19,22.218721962736122
10,20,23.057007826304755
10,21,22.231952524699768
10,22,21.763771930475468
10,23,21.492273695711138
10,24,25.428521186987386
10,25,28.75172121005994
10,26,23.736189582509613
10,27,22.425455230059164
10,28,23.949593905220556
10,29,23.753807924865814
10,30,23.985560782978418
10,31,24.36291342932084
11,12,17.5473819793514
11,13,15.496980909173773
11,14,15.9832166479732
11,15,13.668560640250664
11,16,15.186774220305876
11,17,18.968656973729047
11,18,13.411228101221942
11,19,14.063251258353135
11,20,15.328943291297392
11,21,14.075433059749045
11,22,13.357372733030557
11,23,12.947108471822066
11,24,18.671487574425683
11,25,23.089096932682256
11,26,16.313596066075544
11,27,14.369536412574336
11,28,16.603079017335723
11,29,16.32499569167359
11,30,16.6583726173768
11,31,17.21775224570677
12,13,14.806145209874995
