representation,subset,profiles,pairs,spearman_rho,pearson_r,null_mean,null_sd,p_two_sided,p_positive,null_q025,null_q975,q_bh_all24,label
activation,all_32,32,496,0.09680743306368023,0.08369610537568126,-0.0012137250351243992,0.057571444718773686,0.09096967677440854,0.044318560479840056,-0.11369965885243032,0.1117689396397938,0.23337675320347762,Activation: all 32
logits,all_32,32,496,0.11125806648296425,0.08561691746091415,-0.0014802559901605787,0.05650761985567238,0.0469843385538154,0.019993335554815063,-0.11329668627601386,0.10629261394368164,0.16108916075593852,Logits: all 32
activation,rows_ge_50000,22,231,0.11838042017952063,0.13224642742528908,0.0005360167318937933,0.07839705558294305,0.13328890369876709,0.06764411862712429,-0.15210900231702332,0.15636504799548276,0.24607182221310844,Activation: rows ge 50000
logits,rows_ge_50000,22,231,0.20053836718004633,0.1915552886929545,-0.0014950881702006135,0.07589024667820396,0.005664778407197601,0.002999000333222259,-0.14933521875425923,0.14664255534570395,0.033988670443185605,Logits: rows ge 50000
activation,pair_row_ratio_le_1_5,32,117,0.2556534640111496,0.2293471087873061,0.002462560006394021,0.09824181748052531,0.009996667777407531,0.004665111629456847,-0.19301034782478382,0.19473654632918228,0.047984005331556154,Activation: pair row ratio le 1 5
logits,pair_row_ratio_le_1_5,32,117,0.26225479176969535,0.22068718086563413,0.0011540559576795702,0.09526577753975003,0.004998333888703766,0.0026657780739753416,-0.1859161683825623,0.18879179217431705,0.033988670443185605,Logits: pair row ratio le 1 5
activation,pair_row_ratio_le_2_0,32,181,0.2661384655859794,0.22559181052526248,0.0013775990124056422,0.08481117170184649,0.0013328890369876708,0.0006664445184938354,-0.1686908303482889,0.16623019245947424,0.01599466844385205,Activation: pair row ratio le 2 0
logits,pair_row_ratio_le_2_0,32,181,0.2940744338534394,0.24173291964778648,0.0001941951848029193,0.08215865060976232,0.0006664445184938354,0.0006664445184938354,-0.15840785825592454,0.15930908870135393,0.01599466844385205,Logits: pair row ratio le 2 0
