layer,interaction_order,energy
0,0,0.0074060811836177
0,1,0.00109760690929665
0,2,0.0018247376238449667
0,3,0.0017916450447321168
0,4,0.0008295820071929667
0,5,0.0001484443482143343
1,0,1.63504742967737
1,1,0.050973882613628
1,2,0.06538286457185033
1,3,0.0742214799364224
1,4,0.04805730023274194
1,5,0.0024310326782806665
2,0,1.7052979147031164
2,1,0.0564942724311144
2,2,0.07395280234252147
2,3,0.08260560915653675
2,4,0.0519248218489925
2,5,0.0030977420031911497
3,0,1.9305724897459016
3,1,0.0694966263999426
3,2,0.09375183359021529
3,3,0.09949756531591314
3,4,0.060377624826141896
3,5,0.004448519505854567
4,0,2.227357020543737
4,1,0.08624531504917833
4,2,0.1216201780771099
4,3,0.12410420953277658
4,4,0.0723705468134409
4,5,0.006488559007785016
5,0,2.558610757063755
5,1,0.10330416519661335
5,2,0.14770936783019745
5,3,0.1480175807845837
5,4,0.08348783364376984
5,5,0.008616370588486367
6,0,2.968460783918905
6,1,0.1214058492746889
6,2,0.17661725945770265
6,3,0.17527624800003883
6,4,0.09416221251595354
6,5,0.010831115310183333
7,0,3.6626789015233325
7,1,0.1490192166100916
7,2,0.22402087354639663
7,3,0.2171178008165947
7,4,0.11378675248802013
7,5,0.014032207616519516
8,0,4.446298243750218
8,1,0.17901110074785268
8,2,0.2728420711583262
8,3,0.26213157695809447
8,4,0.13384325690436374
8,5,0.018027227856711417
9,0,4.9174153132329455
9,1,0.2122852987681262
9,2,0.3245770849185891
9,3,0.3155723971518179
9,4,0.16124162154700197
9,5,0.024262562031654614
10,0,5.3239361702790715
10,1,0.23197870585960775
10,2,0.3570926442701538
10,3,0.3422229409795696
10,4,0.1724131923458083
10,5,0.02611481716594208
11,0,5.687801697940453
11,1,0.250661478461534
11,2,0.3882904803310597
11,3,0.3714239192248187
11,4,0.18603481379178347
11,5,0.027890615985391432
12,0,6.905105116812082
12,1,0.29131632654361683
12,2,0.4491590654557403
12,3,0.4293258730180783
12,4,0.21025943075324527
12,5,0.0324538929558597
13,0,7.880490022741868
13,1,0.34048959515181104
13,2,0.5282982370865082
13,3,0.5015993869840389
13,4,0.2450164445819837
13,5,0.03964900060647093
14,0,8.747556371126443
14,1,0.35755958594365705
14,2,0.5643251403222106
14,3,0.5310366138430066
14,4,0.2619814788050843
14,5,0.04309300565750443
15,0,9.771298471864307
15,1,0.42483319971757644
15,2,0.6742690055660173
15,3,0.6335398038015242
15,4,0.3113287606481188
15,5,0.05189332458395863
16,0,13.616856187298618
16,1,0.533158678111156
16,2,0.8477578956338218
16,3,0.7994858704775304
16,4,0.38102568475716
16,5,0.06510872741459754
17,0,17.40391611449123
17,1,0.7047682133676476
17,2,1.13501511947379
17,3,1.0850913396533333
17,4,0.5053149363700236
17,5,0.0935354359314909
18,0,21.38269132247872
18,1,0.8526844276277372
18,2,1.37192636593836
18,3,1.3067744658604428
18,4,0.5978163275582015
18,5,0.11691793871135986
19,0,24.224776502766613
19,1,0.9688821220768745
19,2,1.5655844379626602
19,3,1.4850264162014597
19,4,0.6837645433886216
19,5,0.1346842404015635
20,0,27.964000104209294
20,1,1.1477155166634134
20,2,1.8355699546743907
20,3,1.7227818728310822
20,4,0.7915658724651325
20,5,0.15456127518640164
21,0,37.98510221795274
21,1,1.5946412112609698
21,2,2.5770652952330706
21,3,2.392242820193388
21,4,1.11360873742426
21,5,0.21864151427062214
22,0,45.40824664805234
22,1,1.9985167540042494
22,2,3.296346205887127
22,3,3.011522725998068
22,4,1.4068042640785183
22,5,0.2699980283949133
23,0,56.06972092186523
23,1,2.466796630535303
23,2,4.039532408814258
23,3,3.708463271173704
23,4,1.7371339033094158
23,5,0.33451431582641894
24,0,66.3477510447784
24,1,2.9516497583029717
24,2,4.9026317122081196
24,3,4.475945809154134
24,4,2.089321073032286
24,5,0.40255307744417745
25,0,78.17436929015149
25,1,3.5243884567291914
25,2,5.914165274915393
25,3,5.402600133311846
25,4,2.5210709568026473
25,5,0.4845781200830345
26,0,94.184284074411
26,1,4.425484501177595
26,2,7.380419541360751
26,3,6.722618944962506
26,4,3.148581087371372
26,5,0.6003154028508512
27,0,112.9444260016778
27,1,5.409448907076062
27,2,9.127159287913
27,3,8.310002644495498
27,4,3.91921194154926
27,5,0.7511324058995325
28,0,129.47588297258562
28,1,6.828153843411016
28,2,11.513302910894277
28,3,10.523407633106997
28,4,4.955302900762712
28,5,0.9367058114388964
29,0,171.7965367742568
29,1,9.768872408908498
29,2,16.111512446675686
29,3,14.716046669284824
29,4,6.988852750960732
29,5,1.3141449981069935
30,0,286.7063343044804
30,1,16.736212051974245
30,2,26.00413161398426
30,3,23.469897637525346
30,4,11.196960206777844
30,5,2.082344915957072
31,0,1084.5475674302481
31,1,65.94175348402975
31,2,80.51067705770004
31,3,64.4983946400253
31,4,29.983671658328788
31,5,5.585656697968134
