layer_band,prompt_group,pooling_rule,mean_spearman,median_spearman,minimum_spearman,maximum_spearman
early_0_7,ipip_stems,final_token,0.0948984965511544,0.09677758633914925,0.0694967458711211,0.1248309996833395
early_0_7,ipip_stems,mean_tokens,0.05015637569306351,0.050954259280020245,0.0354535817052854,0.0669316977131606
early_0_7,naturalistic_behavioral,final_token,0.050665552454511986,0.0547345165814043,0.0140121275059939,0.0762783937250089
early_0_7,naturalistic_behavioral,mean_tokens,0.06898808540391907,0.0705344973064191,0.0468474581604976,0.0903986971683473
early_0_7,neutral_controls,final_token,0.09345777745652796,0.09668986548813895,0.0667235082046531,0.1104677920897821
early_0_7,neutral_controls,mean_tokens,0.0656423511744956,0.061559680664632896,0.0452199020122691,0.1030158467914033
late_25_31,ipip_stems,final_token,0.06091600573978708,0.057544976604495,0.0458382750068347,0.0892105320092598
late_25_31,ipip_stems,mean_tokens,0.12925394849195712,0.1250805910733216,0.1145658899634365,0.1643430475325068
late_25_31,naturalistic_behavioral,final_token,0.030590708052251454,0.0268845723411829,0.017938422322793,0.0616672665514101
late_25_31,naturalistic_behavioral,mean_tokens,0.08443244300322249,0.080650668428951,0.0717719808587596,0.1163914080770055
late_25_31,neutral_controls,final_token,0.08066293305145769,0.0680165056812035,0.0621984104037716,0.1309237634998652
late_25_31,neutral_controls,mean_tokens,0.10224345654994056,0.0936922610934423,0.087588187974376,0.1571747198734931
middle_8_24,ipip_stems,final_token,0.06566522358809283,0.0582096685685963,0.0371949192712482,0.1125376894799884
middle_8_24,ipip_stems,mean_tokens,0.0904259956843007,0.0833569353560266,0.0675462353790386,0.1230196427833865
middle_8_24,naturalistic_behavioral,final_token,0.039318794718746566,0.0286430213735983,0.0149602404259378,0.103731578129579
middle_8_24,naturalistic_behavioral,mean_tokens,0.0770256233508231,0.0731646968811893,0.0529676593284044,0.1053437929630569
middle_8_24,neutral_controls,final_token,0.05514389308653943,0.0541286821613945,0.0405284099513995,0.0789558465160464
middle_8_24,neutral_controls,mean_tokens,0.07737755380538068,0.07656250307318,0.0567329686820827,0.0935118039615995
