ptype_a,ptype_b,ocean_hamming,row_weighted_centroid_distance,unique_tuple_centroid_distance,row_count_difference,row_count_ratio,retained_token_difference,retained_token_ratio,nominal_step_difference,nominal_step_ratio,weight_distance
0,1,1,60.14629811865326,55.94088666417894,21987,1.1381639719235628,1339756,1.1908831019878967,687,1.1381182147165259,18.72565671785548
0,2,1,62.603749004700106,63.96705389376616,104491,2.912143615269187,5428807,2.8530413281477736,3266,2.9121779859484778,14.973365250880596
0,3,2,87.69964043466457,78.64446205492253,122802,4.3797165267648275,7010651,6.2014356409933,3838,4.378521126760563,14.587236872927631
0,4,1,52.9706689930955,53.92969557146642,73031,1.8481522774254988,3495511,1.7188016788094518,2283,1.8483835005574136,16.15793909765305
0,5,2,73.58701133748832,76.18697219604144,132709,6.021530195247465,7073553,6.505018958260696,4148,6.021791767554479,14.112863918601642
0,6,2,82.02623882229743,83.12466662055806,80281,2.0180709140712185,3046154,1.5734123671227318,2509,2.017849898580122,15.78951599264013
0,7,3,102.18825927718385,97.50646591734208,158639,319.5522088353414,8305205,156.89017568886553,4958,310.875,13.50041776802735
0,8,1,49.862004957085226,49.94420511778485,38510,1.2419927483866102,1476953,1.1767011254796176,1203,1.2418576598311217,19.965884126527182
0,9,2,79.30645055250207,77.45727759371535,185932,2.1683769330828153,8373963,2.001852250426842,5810,2.168073984720547,24.42913059478041
0,10,2,79.46556934708474,79.89145140358019,111790,1.7024764825276335,6252502,1.748042856112253,3493,1.7022517088862084,22.72717099569286
0,11,3,83.71838772723778,91.3755762476914,35462,1.2867353951890035,3590409,1.7530106508458765,1109,1.286934023285899,17.226214378379503
0,12,2,77.65051447532223,73.62417775606119,56938,1.5571287390287576,3916000,1.8814894199885155,1780,1.5572949279899813,16.803978249503228
0,13,3,88.39121404589169,88.47272354326006,94793,2.4732220564465996,4641010,2.2484320657780517,2963,2.4733963202386873,15.24906789875176
0,14,3,89.00919111486338,98.07798851955965,91714,2.3602776500600684,4327599,2.0736109367627233,2867,2.360702420503085,15.534618759257198
0,15,4,106.0836923610107,105.09575252583045,139707,8.19027277406073,7687479,12.456715479238511,4366,8.180921052631579,13.939562600221576
0,16,1,51.72375057261244,54.074662407703066,98266,2.6143319478898,3951524,1.896655901112718,3071,2.6137677351550184,15.086077227950426
0,17,2,73.64484414449578,78.12213436517946,33694,1.2686000813118308,4178032,1.9994218324395299,1053,1.2685539403213466,17.92461348701574
0,18,2,61.14326873752186,77.10651408005522,142954,9.833590805165915,7026580,6.275602315787735,4468,9.8300395256917,13.80891435276617
0,19,3,73.02465412881746,82.7714156772744,131040,5.663843114923301,7385368,8.589424866382425,4095,5.658703071672355,14.356698240970445
0,20,2,75.6703805821095,73.48085013537924,100475,2.712778289182094,5562661,2.9896348835046607,3140,2.712104689203926,15.243174895121971
0,21,3,95.85341923705859,92.27664510908491,131333,5.723528988634729,6997150,6.139932903900668,4105,5.723820483314154,14.299882194446031
0,22,3,118.82145702124787,96.43235344664888,144062,10.556351575456054,7747658,13.683965731480315,4502,10.538135593220339,13.743210136012696
0,23,4,95.36848560620362,98.2373914194844,158651,327.4423868312757,8335586,365.07888185193275,4958,310.875,13.497634054282903
0,24,2,75.5356332109614,76.76123054723982,38374,1.3177628909516987,542765,1.0694453329675746,1200,1.3179650238473768,17.420891003981612
0,25,3,93.9249573627956,92.42488049906716,113912,1.7158109050692172,5413922,1.6477160144289376,3559,1.7155207076799357,21.611370120113303
0,26,3,95.1261438028863,96.40398565054795,76688,1.9301265024439351,3684278,1.7882152315592625,2397,1.930151338766007,15.841161280822087
0,27,4,110.62441252201225,105.68293260142636,120679,4.137942690727547,6299728,4.059972711636608,3772,4.13810316139767,14.523427632622454
0,28,3,93.14579518904247,90.40371882695894,81717,2.0555024541462155,3742319,1.810699234558926,2554,2.0553719008264464,16.109837192875833
0,29,4,102.08424072987857,103.39774069378419,73814,1.8651125722255428,4795172,2.345707599312886,2307,1.8650168728908887,15.748684701182038
0,30,4,97.24719769590358,107.24784169247667,69676,1.778842177038039,4171584,1.9963426375189073,2178,1.7789699570815452,16.083303772632235
0,31,5,107.24107393515827,112.3667395949658,65959,1.7078816888106634,2303086,1.380336212583985,2062,1.7081043956043955,16.378506061487755
1,2,2,99.25663586158724,93.12300269484051,126478,3.3144969439666214,4089051,2.3957358395507486,3953,3.3144028103044496,15.402529546428257
1,3,1,72.77061610522777,59.44041793776706,144789,4.984835558001927,5670895,5.207426010698678,4525,4.983274647887324,14.968668351119945
1,4,2,76.01498921988886,83.67767377213706,95018,2.103500336794184,2155755,1.4433000820486246,2970,2.1036789297658864,16.591065408300864
1,5,1,48.84712426834862,56.0885754167109,154696,6.8534887240805205,5733797,5.462348863126961,4835,6.853510895883777,14.53579320334685
1,6,3,106.15598128974487,109.5032231376705,102268,2.2968956071827127,1706398,1.3212147896769155,3196,2.296551724137931,16.22998251754723
1,7,2,91.94459285986899,87.99361537389048,180626,363.7028112449799,6965449,131.74271717095877,5645,353.8125,13.98736720043541
1,8,2,73.94418744030106,74.61361973173521,16523,1.091224796272167,2816709,1.4013134864238164,516,1.0911499735029146,20.198806033218013
1,9,1,51.66671946858601,50.102543349384426,163945,1.905153375587995,9713719,2.383972017709769,5123,1.9049637873167284,24.62644873701088
1,10,3,105.19469632859565,101.28080294137143,89803,1.4958095006735717,7592258,2.0817146988947424,2806,1.4956721427309663,22.98679722395378
1,11,2,71.15737380208785,79.22937427857786,57449,1.4645158682029513,2250653,1.472025799945974,1796,1.4646830530401036,17.54718379010546
1,12,3,100.92544492339273,98.43646432024936,78925,1.7722678304092996,2576244,1.5799110902218827,2467,1.7723857232310583,17.12185004946663
1,13,2,72.6822212456662,73.98280355218574,116780,2.8149322392142238,3301254,1.8880375932993156,3650,2.8150174042764795,15.654376598043298
1,14,4,110.8075904387152,120.90934159356141,113701,2.6863829850347805,2987843,1.7412380218522894,3554,2.6867584242999527,15.944248514933985
