representation,prompt_group,pooling_rule,layer,target_geometry,pearson_r,spearman_rho,mantel_permutations,mantel_two_sided_p,null_mean,null_sd,mantel_two_sided_q
activation,ipip_stems,final_token,0,row_weighted_continuous,0.09085378075013827,0.07816321192059493,1000,0.14085914085914086,-0.0021980052916427202,0.060444984978718926,0.29098010423311627
activation,ipip_stems,final_token,0,unique_tuple_weighted_continuous,0.12391182046515138,0.10407262735749787,1000,0.001998001998001998,0.0016048035216155465,0.03733083240913375,0.012598512598512598
activation,ipip_stems,final_token,0,binary_hamming,0.08074566587932148,0.06301776245055006,1000,0.001998001998001998,3.297125303085645e-05,0.021936026475524513,0.012598512598512598
activation,ipip_stems,final_token,1,row_weighted_continuous,0.09257150084633481,0.08559135851275787,1000,0.11388611388611389,-0.0001407895841526734,0.055869469284723014,0.26469775957830566
activation,ipip_stems,final_token,1,unique_tuple_weighted_continuous,0.14469444862879546,0.132215580875281,1000,0.000999000999000999,0.0020148776699949263,0.04014575958754964,0.007315265379781508
activation,ipip_stems,final_token,1,binary_hamming,0.10279694950079611,0.08982537049320308,1000,0.001998001998001998,-0.00027338699647604645,0.02937055306282219,0.012598512598512598
activation,ipip_stems,final_token,2,row_weighted_continuous,0.06755099068744455,0.0959506796399118,1000,0.22877122877122877,0.0007898661442217873,0.05713333430999421,0.39242621358490376
activation,ipip_stems,final_token,2,unique_tuple_weighted_continuous,0.09965938154686053,0.11922070054737025,1000,0.004995004995004995,-0.00013527123857106182,0.037465736447515136,0.024297131439988583
activation,ipip_stems,final_token,2,binary_hamming,0.09387449710844334,0.11963514915756704,1000,0.000999000999000999,-0.0005628883113114274,0.02317521805592849,0.007315265379781508
activation,ipip_stems,final_token,3,row_weighted_continuous,0.0772608840786285,0.06949674587112116,1000,0.1978021978021978,-0.0007200791258709551,0.05848233864678366,0.36113484370857024
activation,ipip_stems,final_token,3,unique_tuple_weighted_continuous,0.0552082557713108,0.033655402601336266,1000,0.13186813186813187,0.0011263910407624408,0.0372029381900705,0.28151159185641944
activation,ipip_stems,final_token,3,binary_hamming,0.07937715569431611,0.0746762326108492,1000,0.001998001998001998,-1.5311114835372785e-05,0.023721605778241974,0.012598512598512598
activation,ipip_stems,final_token,4,row_weighted_continuous,0.10319082462382169,0.09760449303838671,1000,0.06693306693306693,4.4884619680627544e-05,0.05599479643110345,0.17805241633366634
activation,ipip_stems,final_token,4,unique_tuple_weighted_continuous,0.06404432259704049,0.0451240187950774,1000,0.08891108891108891,-0.00079947915982921,0.037372682821024523,0.2178001854260847
activation,ipip_stems,final_token,4,binary_hamming,0.07830548970396768,0.07100554920692571,1000,0.000999000999000999,0.0009744415232460562,0.024229804826638238,0.007315265379781508
activation,ipip_stems,final_token,5,row_weighted_continuous,0.10873305016857598,0.10926989109633362,1000,0.06393606393606394,-0.0014436662710298036,0.057307334517855246,0.1727796013510299
activation,ipip_stems,final_token,5,unique_tuple_weighted_continuous,0.07434889270833485,0.06527817933996943,1000,0.04795204795204795,0.0002403031785503983,0.03708921615481858,0.13955275493737032
activation,ipip_stems,final_token,5,binary_hamming,0.07300226306278625,0.07589952099445724,1000,0.001998001998001998,0.0003715485014464212,0.021493794113509906,0.012598512598512598
activation,ipip_stems,final_token,6,row_weighted_continuous,0.10354096563777443,0.09828059264678983,1000,0.07392607392607392,0.0031047672528592358,0.05912960965112554,0.19069566796839524
activation,ipip_stems,final_token,6,unique_tuple_weighted_continuous,0.07714199523619569,0.07425786389893613,1000,0.03796203796203796,0.0004307687699505845,0.036404321244645,0.11489843489843489
activation,ipip_stems,final_token,6,binary_hamming,0.08203152428959964,0.09185791119212104,1000,0.000999000999000999,0.0016862655204335664,0.022307138782137352,0.007315265379781508
activation,ipip_stems,final_token,7,row_weighted_continuous,0.1327392559317971,0.12483099968333952,1000,0.016983016983016984,0.0027318905588997627,0.0563657311483955,0.06023663836163837
activation,ipip_stems,final_token,7,unique_tuple_weighted_continuous,0.07415557223927174,0.058914975680082436,1000,0.059940059940059943,-0.0005657015916149031,0.037452604517586655,0.1652598413732017
activation,ipip_stems,final_token,7,binary_hamming,0.08248241338191496,0.07573014260288073,1000,0.000999000999000999,0.0009385120346743018,0.023459974325724987,0.007315265379781508
activation,ipip_stems,final_token,8,row_weighted_continuous,0.11023015900824416,0.09436806567656182,1000,0.052947052947052944,0.00018535011175248783,0.05651282257246339,0.14961387160557285
activation,ipip_stems,final_token,8,unique_tuple_weighted_continuous,0.0712350909340645,0.057147872572679476,1000,0.061938061938061936,0.0009378606566881016,0.037350312079999254,0.16871928071928072
activation,ipip_stems,final_token,8,binary_hamming,0.08114322959461742,0.0790522501864584,1000,0.000999000999000999,0.0003476877742004301,0.022353344543765176,0.007315265379781508
activation,ipip_stems,final_token,9,row_weighted_continuous,0.09850131281274649,0.07247473108445393,1000,0.08891108891108891,-0.0015349443216717878,0.058338098923625216,0.2178001854260847
activation,ipip_stems,final_token,9,unique_tuple_weighted_continuous,0.07795689199487361,0.06075888370300002,1000,0.03496503496503497,-0.0011105279442555737,0.03698836490488592,0.10774293579723446
activation,ipip_stems,final_token,9,binary_hamming,0.09114739805927498,0.07619491036334183,1000,0.000999000999000999,0.00019582416755387072,0.022089035617434524,0.007315265379781508
activation,ipip_stems,final_token,10,row_weighted_continuous,0.12368428747996356,0.10231614516030689,1000,0.03296703296703297,0.0010042679079888324,0.05714328544012733,0.10393772893772894
activation,ipip_stems,final_token,10,unique_tuple_weighted_continuous,0.09644668058001604,0.08297536932248427,1000,0.012987012987012988,0.0007920876582639475,0.03741871702104531,0.049966982170372
activation,ipip_stems,final_token,10,binary_hamming,0.09386623274120376,0.08313042363388476,1000,0.000999000999000999,1.597158613401603e-05,0.0213999998544396,0.007315265379781508
activation,ipip_stems,final_token,11,row_weighted_continuous,0.13879451390753367,0.11027169861790488,1000,0.013986013986013986,0.0010491648859283923,0.05767511569496045,0.05262141173743384
activation,ipip_stems,final_token,11,unique_tuple_weighted_continuous,0.09326276535811573,0.08023792805710116,1000,0.016983016983016984,0.002072994387050439,0.03919864026922674,0.06023663836163837
activation,ipip_stems,final_token,11,binary_hamming,0.09695017773979023,0.08770282195335076,1000,0.000999000999000999,0.00015951249196119436,0.02088870413066759,0.007315265379781508
activation,ipip_stems,final_token,12,row_weighted_continuous,0.13155379493451916,0.11253768947998843,1000,0.023976023976023976,0.001096028515806597,0.05868134253258582,0.07964718208620648
activation,ipip_stems,final_token,12,unique_tuple_weighted_continuous,0.09735086858062958,0.09453377154422134,1000,0.004995004995004995,0.001190319241766169,0.0356601579130936,0.024297131439988583
activation,ipip_stems,final_token,12,binary_hamming,0.09103100521099562,0.0887583684515811,1000,0.000999000999000999,0.0001171647428627506,0.020789024236104924,0.007315265379781508
activation,ipip_stems,final_token,13,row_weighted_continuous,0.09501191745926645,0.08103262782953831,1000,0.11488511488511488,0.0005369301020601098,0.059902425585427924,0.26611143958082734
activation,ipip_stems,final_token,13,unique_tuple_weighted_continuous,0.09054788454926208,0.08712303144379473,1000,0.01098901098901099,-0.002332889995492327,0.03620978215871079,0.0442811626243579
activation,ipip_stems,final_token,13,binary_hamming,0.09571808357552528,0.09413020004916417,1000,0.000999000999000999,-7.862080717706022e-05,0.020033643150822147,0.007315265379781508
