prompt_group,pooling_rule,fixed_coordinate_count,fixed_coordinate_indices,within_adapter_prompt_dispersion,between_adapter_centroid_distance,uniqueness_score_between_over_within,silhouette_score
ipip_stems,final_token,128,"[39, 47, 78, 94, 205, 206, 261, 263, 275, 276, 287, 381, 385, 392, 412, 425, 558, 583, 641, 690, 703, 789, 850, 869, 902, 918, 1065, 1114, 1115, 1142, 1224, 1239, 1262, 1264, 1276, 1314, 1324, 1346, 1382, 1474, 1480, 1616, 1618, 1628, 1630, 1662, 1669, 1686, 1687, 1688, 1720, 1772, 1853, 1889, 1899, 1904, 1908, 1914, 1960, 1977, 2009, 2017, 2035, 2095, 2191, 2194, 2237, 2238, 2248, 2259, 2284, 2451, 2454, 2458, 2464, 2467, 2476, 2481, 2512, 2567, 2589, 2622, 2638, 2691, 2727, 2749, 2753, 2788, 2797, 2824, 2850, 2904, 2926, 2932, 2946, 2962, 2996, 3002, 3006, 3046, 3049, 3056, 3072, 3155, 3167, 3242, 3253, 3260, 3282, 3346, 3352, 3498, 3583, 3606, 3620, 3677, 3751, 3801, 3807, 3849, 3861, 3871, 3876, 3885, 3949, 3953, 3973, 4009]",6.5168314,5.501416547625204,0.8441858031350817,0.030078057199716568
ipip_stems,mean_tokens,128,"[0, 59, 72, 134, 139, 210, 219, 255, 283, 326, 397, 403, 495, 535, 539, 545, 556, 608, 641, 663, 705, 780, 805, 909, 1034, 1063, 1076, 1079, 1114, 1118, 1175, 1185, 1187, 1224, 1250, 1252, 1254, 1256, 1275, 1298, 1401, 1409, 1411, 1456, 1464, 1482, 1530, 1548, 1557, 1606, 1615, 1629, 1632, 1692, 1711, 1734, 1747, 1776, 1839, 1857, 1877, 1979, 1984, 1996, 2004, 2009, 2030, 2038, 2179, 2183, 2251, 2266, 2268, 2284, 2296, 2371, 2384, 2409, 2548, 2618, 2690, 2698, 2736, 2814, 2815, 2847, 2893, 2898, 2985, 3019, 3038, 3045, 3111, 3174, 3181, 3235, 3247, 3301, 3335, 3347, 3353, 3373, 3397, 3448, 3462, 3490, 3501, 3506, 3534, 3546, 3568, 3621, 3656, 3707, 3746, 3764, 3797, 3802, 3840, 3841, 3847, 3872, 3888, 3920, 3921, 3938, 3961, 4006]",3.4323242,4.2003100596128835,1.22375097755059,0.10576217621564865
neutral_controls,final_token,128,"[44, 57, 125, 135, 176, 199, 230, 270, 280, 285, 304, 326, 392, 407, 431, 443, 446, 460, 474, 515, 525, 572, 620, 673, 683, 695, 706, 708, 737, 742, 761, 791, 854, 883, 887, 888, 906, 920, 923, 935, 949, 985, 1015, 1060, 1065, 1103, 1172, 1180, 1257, 1262, 1286, 1337, 1359, 1364, 1404, 1434, 1452, 1460, 1478, 1497, 1506, 1555, 1653, 1654, 1784, 1825, 1907, 1917, 1929, 1931, 1966, 1988, 2029, 2035, 2037, 2103, 2116, 2197, 2198, 2217, 2270, 2276, 2303, 2359, 2366, 2558, 2591, 2616, 2653, 2670, 2708, 2713, 2739, 2757, 2832, 2864, 2873, 2913, 2948, 2993, 2996, 3029, 3077, 3092, 3113, 3120, 3213, 3253, 3266, 3270, 3293, 3329, 3330, 3342, 3347, 3441, 3451, 3477, 3514, 3607, 3697, 3803, 3943, 3999, 4010, 4037, 4050, 4058]",8.311691,4.454822931996718,0.5359706923277988,-0.08188726007938385
neutral_controls,mean_tokens,128,"[48, 71, 91, 116, 168, 281, 286, 305, 318, 357, 384, 430, 517, 579, 606, 612, 627, 669, 730, 740, 752, 791, 801, 809, 869, 875, 926, 943, 960, 961, 973, 1060, 1065, 1068, 1071, 1093, 1125, 1248, 1265, 1273, 1469, 1471, 1488, 1512, 1513, 1542, 1618, 1638, 1661, 1668, 1676, 1701, 1734, 1803, 1838, 1905, 1912, 1930, 1963, 1965, 1983, 1995, 2046, 2052, 2065, 2097, 2107, 2121, 2174, 2187, 2202, 2267, 2328, 2416, 2491, 2504, 2536, 2543, 2577, 2578, 2580, 2595, 2670, 2718, 2732, 2735, 2741, 2777, 2824, 2857, 2874, 2959, 2995, 3029, 3036, 3142, 3144, 3247, 3403, 3477, 3493, 3512, 3518, 3547, 3551, 3590, 3593, 3625, 3653, 3695, 3741, 3751, 3765, 3774, 3786, 3793, 3803, 3837, 3873, 3915, 3951, 4007, 4015, 4032, 4043, 4061, 4088, 4089]",3.2673573,3.0894856800649704,0.9455609992082206,0.07977407425642014
naturalistic_behavioral,final_token,128,"[68, 124, 150, 173, 179, 188, 192, 219, 224, 267, 290, 347, 377, 426, 430, 493, 513, 530, 554, 557, 635, 692, 719, 765, 797, 802, 859, 879, 885, 931, 962, 964, 999, 1181, 1256, 1273, 1274, 1323, 1343, 1349, 1358, 1365, 1375, 1384, 1387, 1425, 1431, 1474, 1519, 1528, 1604, 1617, 1651, 1655, 1698, 1748, 1774, 1777, 1812, 1858, 1951, 1955, 1971, 1985, 2022, 2031, 2053, 2090, 2112, 2143, 2175, 2209, 2270, 2279, 2311, 2349, 2350, 2393, 2427, 2494, 2539, 2543, 2545, 2622, 2676, 2766, 2814, 2816, 2872, 2893, 2952, 3054, 3144, 3163, 3193, 3197, 3278, 3281, 3289, 3315, 3324, 3347, 3394, 3414, 3416, 3453, 3464, 3493, 3500, 3569, 3584, 3636, 3642, 3659, 3736, 3758, 3764, 3781, 3835, 3914, 3942, 3944, 3951, 3956, 3958, 4020, 4028, 4037]",6.698965,3.201592412103605,0.4779234370370868,-0.08264508843421936
naturalistic_behavioral,mean_tokens,128,"[9, 87, 144, 147, 187, 211, 270, 276, 291, 293, 302, 323, 338, 444, 482, 530, 637, 673, 731, 774, 829, 849, 858, 859, 878, 893, 913, 965, 1005, 1012, 1045, 1088, 1115, 1202, 1216, 1269, 1328, 1330, 1339, 1466, 1506, 1518, 1592, 1621, 1649, 1707, 1710, 1718, 1780, 1808, 1839, 1846, 1867, 1892, 1927, 1959, 1973, 1987, 1989, 2028, 2050, 2054, 2074, 2078, 2115, 2121, 2173, 2200, 2216, 2233, 2240, 2245, 2293, 2305, 2312, 2420, 2442, 2502, 2532, 2554, 2608, 2648, 2673, 2688, 2689, 2724, 2734, 2742, 2921, 2941, 3015, 3028, 3033, 3047, 3115, 3121, 3218, 3237, 3321, 3327, 3369, 3387, 3405, 3428, 3439, 3467, 3485, 3529, 3540, 3555, 3569, 3624, 3627, 3640, 3701, 3735, 3838, 3840, 3864, 3891, 3901, 3914, 3955, 3968, 3996, 4025, 4088, 4089]",2.3905246,2.697581515458991,1.1284474907179989,0.13536304235458374
