variable_a,variable_b,pearson_r,pearson_p,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_p,spearman_ci_low,spearman_ci_high,bootstrap_resamples
row_count,retained_tokens,0.9845264782234988,2.9839781103111975e-24,0.9568146526371073,0.9930948264624384,0.93841642228739,2.1838528746177563e-15,0.8069400264039174,0.9830968935752104,1000
row_count,nominal_steps,0.9999606273750228,4.008798763076292e-63,0.9999412204630387,0.9999999040957503,0.9999083535717271,1.2784474271399124e-57,0.9986208728813396,1.0,1000
row_count,unique_tuple_count,0.9060841739017151,9.837655523271263e-13,0.846807566474001,0.9604767263964867,0.9334312800841951,6.78701991386946e-15,0.8261238334527168,0.9702976681426645,1000
row_count,update_frobenius_norm,0.8531414543849623,5.570748128018698e-10,0.8365622648095563,0.9746664678781869,0.9934017595307918,8.867475380063028e-30,0.9690750656916071,0.9981600820588222,1000
row_count,update_spectral_norm,0.8978368872750767,3.2858630337399754e-12,0.8860912295417877,0.9852465420362567,0.9941348973607038,1.5226758039739084e-30,0.9735193109377501,0.9985245432951517,1000
row_count,activation_effect_magnitude,0.891678884370603,7.57750474366641e-12,0.419610858071168,0.9634285351338845,0.5535190615835777,0.0010154011378941455,0.19446717456407658,0.8160256702238419,1000
row_count,logit_effect_magnitude,0.47319539525071325,0.0062327309508659,-0.1942886552224753,0.784289199523094,0.1983137829912023,0.2765728026388115,-0.2049392956076603,0.5743101121543374,1000
retained_tokens,nominal_steps,0.9846411577136711,2.6709415678467557e-24,0.9572993520483878,0.993377960386022,0.9383191314268875,2.2347130842200073e-15,0.8156125441951552,0.9806733016051716,1000
retained_tokens,unique_tuple_count,0.9094044465686031,5.865152272841943e-13,0.8526103107451753,0.9650589472448704,0.9062902526868548,9.532222484768793e-13,0.7301336104055804,0.9646816109449302,1000
retained_tokens,update_frobenius_norm,0.8530151128034489,5.638068610442548e-10,0.8247456739528557,0.9378145556949292,0.9442815249266862,5.06291329908165e-16,0.8425333755479109,0.9812839242868567,1000
retained_tokens,update_spectral_norm,0.8934050456344902,6.026212422964209e-12,0.8598072316909994,0.9528208906424747,0.9380498533724339,2.3812804295222684e-15,0.809230103534072,0.9815340546772572,1000
retained_tokens,activation_effect_magnitude,0.8605694064916068,2.693988946066355e-10,0.34482121033896995,0.9533819761468355,0.48717008797653955,0.0046859759275317625,0.12149459652814594,0.7831246547597127,1000
retained_tokens,logit_effect_magnitude,0.4937069829463929,0.004083958576297553,-0.09466605260593011,0.7899868160276323,0.17448680351906154,0.339511889734369,-0.24492016133147737,0.5297815676106966,1000
nominal_steps,unique_tuple_count,0.9084599760921728,6.808264471405659e-13,0.8416107914575754,0.960798979138511,0.9337002356961265,6.3987569796836285e-15,0.827047298943985,0.9725062401559519,1000
nominal_steps,update_frobenius_norm,0.857199300486233,3.7647479551471655e-10,0.8404789032418643,0.9768894217071226,0.9936761108546898,4.6981383346952666e-30,0.970567126360642,0.9985278015427893,1000
nominal_steps,update_spectral_norm,0.9013515184236405,1.99102527511175e-12,0.8879653848674081,0.985525735283044,0.9940427133674568,1.9228137631034765e-30,0.9755264645026495,0.9978939873826675,1000
nominal_steps,activation_effect_magnitude,0.8886113114768852,1.1278624234508052e-11,0.4117611310269028,0.9617744799374504,0.5533864930216397,0.0010188338643415866,0.18592003871035537,0.796349852143237,1000
nominal_steps,logit_effect_magnitude,0.4706716128772593,0.006554123781586852,-0.13146869780641168,0.7645183988923797,0.1974154531249771,0.27879864215393635,-0.22610426489689162,0.564702577412372,1000
unique_tuple_count,update_frobenius_norm,0.8884535793465124,1.150804309711497e-11,0.8241830787371316,0.9397757334365368,0.936548830528484,3.3757441872282693e-15,0.8417486611793806,0.9769221742592904,1000
unique_tuple_count,update_spectral_norm,0.9119213100897428,3.9102775598070366e-13,0.8466907568110199,0.9566464272678883,0.9367322158487363,3.2363255464809174e-15,0.8402854415756704,0.9753566537453439,1000
unique_tuple_count,activation_effect_magnitude,0.709655509825356,5.414000180399878e-06,0.3331729658235613,0.8651066214997116,0.5145792086279471,0.0025849327507711396,0.16766827287628724,0.7786517280983408,1000
unique_tuple_count,logit_effect_magnitude,0.3125450713811385,0.08157656183917508,-0.20884653524219912,0.6620522253298591,0.14267377915628757,0.4359963377330824,-0.29377357833497336,0.5118403845255178,1000
update_frobenius_norm,update_spectral_norm,0.9912324802797389,6.213344134022604e-28,0.9881993351454392,0.9963182069749936,0.9978005865102637,6.361252877369007e-37,0.984169125624776,1.0,1000
update_frobenius_norm,activation_effect_magnitude,0.6147076115245378,0.000181644650222083,0.4625783096951263,0.7678511263145595,0.5505865102639296,0.0010937548552229174,0.14721126624548278,0.8110848734695828,1000
update_frobenius_norm,logit_effect_magnitude,0.3148026279260088,0.07928157839299253,-0.11676894000760607,0.6055778381738764,0.19868035190615835,0.27566784728032534,-0.18988784703070416,0.5466235886253201,1000
update_spectral_norm,activation_effect_magnitude,0.6756732807139758,2.2012047108886892e-05,0.4537403763944879,0.8259772209117863,0.5641495601173019,0.0007710814183425753,0.1947017376648367,0.8235205101746456,1000
update_spectral_norm,logit_effect_magnitude,0.36004275544688197,0.04295671711451973,-0.11440767466009949,0.6423063990012973,0.20197947214076245,0.26760958121404144,-0.21334939571735118,0.5996088339453745,1000
activation_effect_magnitude,logit_effect_magnitude,0.678173126920404,1.9977895228748607e-05,0.4106291328891652,0.8896872425857012,0.7668621700879764,3.0775950087143087e-07,0.5767607880546483,0.8744280639888172,1000
