18,0,1,0,0,0,0,8,1,5,2,0,6,0,0,1,2,0,1,0,0,0,12,1,0,1,0,1,0,0,0,0
0,21,1,1,4,0,0,2,3,4,2,0,4,0,1,0,2,1,3,0,2,0,9,0,0,0,0,0,0,0,0,0
0,0,28,1,0,0,0,6,3,2,0,0,4,0,2,0,2,0,5,0,0,0,4,0,0,1,1,1,0,0,0,0
0,2,0,27,0,1,0,10,0,1,1,0,2,0,0,1,0,2,0,0,0,0,6,0,0,1,0,4,0,2,0,0
0,0,0,1,27,0,0,3,0,2,2,0,6,0,0,1,1,1,3,0,1,0,9,0,0,0,0,1,2,0,0,0
0,0,0,0,0,31,0,5,2,0,0,0,0,0,0,0,1,1,9,0,2,0,7,0,0,1,0,0,1,0,0,0
0,1,1,0,3,1,19,4,0,2,0,1,3,0,0,0,2,1,4,0,1,0,10,1,1,1,1,1,2,0,0,0
0,0,1,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0,0,0,0,3,0,0,5,32,0,0,1,2,0,0,0,1,0,6,0,2,0,5,0,0,2,0,1,0,0,0,0
3,0,0,0,0,0,0,2,0,28,0,1,5,0,0,0,6,0,4,0,1,0,0,3,2,0,0,2,3,0,0,0
2,1,0,0,2,0,0,3,1,1,29,2,0,0,0,2,2,0,7,0,0,0,0,2,0,0,1,0,2,3,0,0
2,1,2,0,0,0,0,6,1,1,3,16,8,0,0,0,2,0,5,0,2,0,7,1,1,0,0,0,1,0,0,1
0,0,0,0,2,0,0,4,1,2,0,3,30,0,0,0,3,0,4,0,1,0,4,2,0,2,0,0,1,1,0,0
0,0,1,0,1,0,0,5,0,4,0,0,2,38,0,0,3,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0
0,0,2,0,2,0,0,4,1,1,2,0,3,0,22,0,3,1,5,0,0,0,10,0,0,0,1,2,0,1,0,0
0,0,0,1,1,0,0,8,0,1,0,0,0,0,1,34,1,0,3,0,0,0,6,1,0,0,2,1,0,0,0,0
2,0,0,1,1,0,1,1,0,2,1,0,5,0,0,3,26,1,8,0,1,0,5,0,0,0,1,1,0,0,0,0
0,0,4,0,2,0,0,2,3,3,0,0,3,0,0,0,2,26,3,0,1,0,6,0,0,0,0,1,4,0,0,0
1,0,2,0,0,1,0,2,0,2,2,0,6,0,0,1,1,0,35,0,1,0,5,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,9,0,5,0,0,1,0,1,0,0,0,0,37,0,0,4,0,0,0,0,1,2,0,0,0
3,0,2,0,0,0,0,2,3,0,1,0,2,0,0,0,1,1,4,0,31,0,6,0,0,0,0,1,3,0,0,0
0,1,3,0,0,0,0,11,0,3,0,0,5,0,0,0,0,2,1,0,0,23,6,0,0,0,1,3,1,0,0,0
1,0,0,0,1,0,0,9,0,3,0,0,2,0,0,0,0,2,1,0,2,0,34,0,0,1,0,2,1,1,0,0
0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,4,0,1,0,0,0,2
2,0,1,0,5,0,0,4,1,4,0,0,2,0,0,0,1,0,4,0,1,0,7,1,25,1,0,1,0,0,0,0
0,0,1,0,6,0,0,5,1,3,0,1,3,0,0,0,4,1,0,0,2,0,1,1,0,23,5,1,2,0,0,0
1,0,3,0,2,0,1,4,0,1,2,1,2,0,1,0,2,0,0,0,0,0,9,0,0,2,27,2,0,0,0,0
0,0,0,0,0,0,0,2,3,4,0,2,1,0,0,0,3,1,7,0,0,0,10,0,0,1,0,26,0,0,0,0
1,0,3,2,3,1,1,4,0,4,1,0,5,0,0,0,2,2,3,0,2,0,10,0,0,1,1,1,13,0,0,0
3,1,0,1,1,0,0,3,1,2,1,0,4,0,0,0,2,1,3,0,0,0,9,0,1,0,1,0,0,26,0,0
1,0,0,0,0,0,0,4,4,1,2,3,1,0,0,0,2,1,7,0,0,0,5,1,0,0,0,1,1,0,26,0
0,0,2,1,0,0,0,6,1,2,1,0,4,0,0,0,1,2,6,0,0,0,10,0,0,3,0,2,0,0,0,19
