representation,prompt_group,pooling_rule,layer,transformation,interaction_order,energy
activation,ipip_stems,final_token,2,raw,3,0.03316997868368147
activation,ipip_stems,final_token,2,raw,4,0.015481305071227351
activation,ipip_stems,final_token,2,raw,5,0.002687523719664462
activation,ipip_stems,final_token,2,unit_norm,0,0.0007454648409928701
activation,ipip_stems,final_token,2,unit_norm,1,0.20076726935300135
activation,ipip_stems,final_token,2,unit_norm,2,0.3198919836696097
activation,ipip_stems,final_token,2,unit_norm,3,0.3075492157130825
activation,ipip_stems,final_token,2,unit_norm,4,0.14543672985553602
activation,ipip_stems,final_token,2,unit_norm,5,0.02560933656777752
activation,ipip_stems,final_token,3,common_pc1_removed,0,7.085882052964393e-34
activation,ipip_stems,final_token,3,common_pc1_removed,1,0.033674334957975116
activation,ipip_stems,final_token,3,common_pc1_removed,2,0.06397437666325306
activation,ipip_stems,final_token,3,common_pc1_removed,3,0.06577306575320094
activation,ipip_stems,final_token,3,common_pc1_removed,4,0.031686736216524354
activation,ipip_stems,final_token,3,common_pc1_removed,5,0.005621689119981376
activation,ipip_stems,final_token,3,exposure_residualized,0,5.257312503921464e-29
activation,ipip_stems,final_token,3,exposure_residualized,1,0.027177986003525924
activation,ipip_stems,final_token,3,exposure_residualized,2,0.05959505186042312
activation,ipip_stems,final_token,3,exposure_residualized,3,0.0590997793238511
activation,ipip_stems,final_token,3,exposure_residualized,4,0.029863165910670356
activation,ipip_stems,final_token,3,exposure_residualized,5,0.005413154562986598
activation,ipip_stems,final_token,3,profile_centered,0,0.0
activation,ipip_stems,final_token,3,profile_centered,1,0.04821522164014156
activation,ipip_stems,final_token,3,profile_centered,2,0.0793957031148533
activation,ipip_stems,final_token,3,profile_centered,3,0.06983611016082363
activation,ipip_stems,final_token,3,profile_centered,4,0.03504513514295874
activation,ipip_stems,final_token,3,profile_centered,5,0.0056428196406446
activation,ipip_stems,final_token,3,raw,0,0.7787821966784074
activation,ipip_stems,final_token,3,raw,1,0.04821522164014156
activation,ipip_stems,final_token,3,raw,2,0.0793957031148533
activation,ipip_stems,final_token,3,raw,3,0.06983611016082363
activation,ipip_stems,final_token,3,raw,4,0.03504513514295874
activation,ipip_stems,final_token,3,raw,5,0.0056428196406446
activation,ipip_stems,final_token,3,unit_norm,0,0.0010578675088860142
activation,ipip_stems,final_token,3,unit_norm,1,0.19308353993723948
activation,ipip_stems,final_token,3,unit_norm,2,0.32869433167958984
activation,ipip_stems,final_token,3,unit_norm,3,0.300654219152087
activation,ipip_stems,final_token,3,unit_norm,4,0.1512519883650686
activation,ipip_stems,final_token,3,unit_norm,5,0.02525805335712934
activation,ipip_stems,final_token,4,common_pc1_removed,0,1.0571819790826272e-33
activation,ipip_stems,final_token,4,common_pc1_removed,1,0.055612366683188606
