representation,conditions,observed_median,null_median_mean,null_median_sd,null_median_q025,null_median_q975,p_upper,z
activation,192,0.2007452021859874,0.1604875490584557,0.010847218399557225,0.14047492862250788,0.1823474041154815,0.0004997501249375312,3.711334246683463
logits,3,0.26531536056961974,0.1601450310769022,0.02083144677582667,0.12625091174116299,0.20968266655975587,0.0004997501249375312,5.048632993401102
weights,32,0.16199260732499166,0.1612796378463398,0.00019911283099783696,0.1609546320949979,0.1617362851719598,0.001999000499750125,3.5807309608268962
