92,0,0,1,0,0,1,2,0,3,2,0,6,7,1,5,0,0,5,2,2,1,0,2,0,1,0,5,0,0,4,2
2,83,1,3,1,0,0,2,6,0,1,1,1,0,3,5,0,3,7,1,6,0,2,2,3,0,0,2,0,2,5,2
2,1,104,0,2,0,1,0,0,0,0,1,3,0,0,3,1,3,4,0,1,0,0,6,0,0,4,2,0,1,5,0
0,0,0,111,2,1,1,4,0,0,0,1,2,1,1,1,1,2,4,0,1,0,0,2,2,0,2,1,0,4,0,0
1,0,0,2,103,0,0,6,1,0,1,0,1,9,1,0,2,0,4,0,0,2,0,0,0,4,0,0,0,1,6,0
1,0,1,0,3,98,0,0,0,2,0,0,0,1,1,3,0,5,4,1,2,2,4,2,0,1,0,4,0,1,8,0
2,1,0,1,1,0,105,1,5,1,1,0,6,5,1,0,0,0,1,0,0,0,0,2,3,0,0,1,1,0,5,1
0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
0,3,2,1,2,0,3,2,97,1,1,2,3,0,0,1,0,4,6,0,3,2,0,2,2,1,0,0,1,0,5,0
0,0,1,0,0,0,0,1,0,102,0,2,5,2,0,1,0,0,6,1,3,0,0,3,2,1,1,1,2,1,7,2
1,0,0,1,1,2,2,0,0,1,109,2,8,0,1,0,0,0,0,0,0,1,0,2,0,0,0,2,0,3,7,1
2,0,0,1,0,0,1,2,2,1,1,93,5,3,0,6,0,1,3,0,3,1,1,3,0,0,3,3,1,0,7,1
1,1,2,4,5,0,2,2,0,2,1,0,96,3,2,0,2,1,1,1,0,0,0,1,0,4,1,1,0,2,9,0
0,0,0,2,6,0,0,5,0,0,0,0,4,95,1,0,1,1,1,2,2,6,1,1,0,0,2,1,1,3,8,1
2,0,0,0,1,0,0,4,0,0,2,3,1,1,103,2,3,3,4,0,0,3,0,1,1,0,2,0,0,0,6,2
0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,121,0,0,7,0,1,1,4,0,1,0,0,1,0,0,1,1
4,0,0,2,0,2,0,2,0,1,2,0,2,4,1,5,94,0,2,0,1,0,0,4,5,1,0,6,2,0,4,0
1,4,3,1,2,3,0,2,2,1,0,0,0,2,4,0,2,88,0,1,3,5,0,2,0,0,1,5,4,0,6,2
0,0,0,2,0,1,0,4,0,2,1,4,0,1,0,7,0,1,100,0,0,5,1,0,0,1,1,8,0,0,4,1
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,5,126,0,2,1,1,0,0,4,1,0,0,0,0
1,2,2,2,0,3,2,6,0,2,0,0,0,4,1,5,0,1,0,0,95,2,1,2,2,1,0,4,2,2,1,1
1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,3,0,4,5,0,0,110,0,2,0,2,0,2,0,1,6,0
0,0,0,1,0,0,0,6,0,0,0,0,0,2,0,2,0,0,1,0,2,2,117,6,1,0,0,4,0,0,0,0
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0
0,7,1,2,0,0,2,1,0,2,1,0,1,1,1,5,0,0,8,0,2,9,0,2,84,1,1,2,0,0,8,3
1,0,0,0,1,0,0,0,1,1,2,3,12,2,2,1,2,1,3,0,0,1,0,1,3,88,2,6,2,1,5,3
1,0,0,0,0,0,0,3,1,1,1,0,1,2,0,0,2,0,8,1,5,1,0,0,2,0,102,2,2,0,9,0
4,0,1,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,13,0,1,0,1,2,0,4,1,101,1,1,8,1
3,5,0,0,0,1,0,7,0,1,3,2,2,1,0,3,0,2,1,0,0,5,0,4,0,1,1,6,86,0,8,2
2,2,0,2,0,1,1,4,0,4,0,0,4,3,1,0,2,1,5,1,0,1,0,2,1,3,5,1,3,89,5,1
0,6,2,0,0,1,0,2,1,0,1,0,0,1,2,1,0,1,1,0,0,8,0,5,1,1,1,4,2,10,91,2
0,0,3,0,0,2,0,3,4,2,0,1,4,1,1,1,2,1,2,0,1,0,0,2,0,0,0,3,1,4,6,100
