113,3,2,2,3,0,0,0,1,0,0,0,1,2,1,1,3,1,0,0,0,3,0,0,3,1,0,2,0,1,0,1
4,102,3,1,2,1,1,0,1,3,1,0,1,1,1,1,2,3,4,0,0,0,1,1,1,0,0,2,2,3,0,2
2,1,119,0,2,3,1,0,2,0,0,0,2,0,0,2,0,0,0,0,1,1,1,1,1,0,1,3,0,1,0,0
1,2,0,119,1,1,2,0,0,0,0,0,2,0,0,0,3,4,0,0,1,0,2,0,1,0,0,1,1,1,1,1
1,0,1,0,130,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,2,0,0,1,0,1,1,0,0,1
1,0,1,0,0,126,1,0,0,0,1,1,2,0,0,0,0,0,0,0,2,0,0,1,0,2,0,2,3,0,1,0
1,1,2,2,3,3,115,0,0,0,1,3,1,0,2,1,0,0,0,0,0,3,0,0,1,2,0,0,1,1,0,1
0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,4,0,2,8,6,0,89,1,2,2,5,0,2,1,1,1,2,2,0,0,2,1,1,1,0,0,3,1,2,3
0,0,1,0,0,1,0,0,0,127,1,3,1,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,1,0,3,1
0,3,0,0,2,1,2,0,0,3,117,0,4,0,2,2,0,1,0,0,1,2,0,0,0,0,1,0,2,1,0,0
0,0,1,0,3,2,2,0,0,0,0,128,0,0,0,0,0,0,2,0,1,1,0,0,0,1,1,0,0,1,0,1
2,2,0,0,1,2,2,0,3,1,0,2,109,0,0,1,2,1,0,0,0,0,0,0,1,1,1,2,2,0,2,7
0,0,2,0,2,1,0,0,2,0,0,0,0,131,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,1,0,0,3,4,1,1,0,1,1,2,1,0,113,0,1,0,0,0,0,1,0,0,0,1,0,3,0,3,0,6
0,0,1,0,1,0,0,0,0,0,2,1,0,0,2,131,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1
0,2,2,4,1,1,1,0,0,0,0,1,6,0,3,1,104,3,3,0,1,0,2,0,1,1,0,1,1,3,0,2
2,0,1,1,2,0,3,0,1,0,1,1,0,1,1,0,3,113,1,0,0,0,1,0,0,1,2,3,1,1,1,3
0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,130,3,0,0,2,0,0,1,0,1,0,0,0,0
0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,2,131,0,2,0,0,0,1,0,0,1,0,0,1
0,3,0,1,2,3,1,0,0,2,1,1,1,0,1,0,0,0,1,3,108,2,1,0,1,2,0,1,1,1,2,5
1,0,0,1,4,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,132,0,0,0,0,0,0,0,1,0,0
1,1,1,0,1,3,0,0,0,1,0,0,0,1,0,1,1,0,1,0,2,0,126,0,0,0,0,0,3,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,143,0,0,0,0,0,0,0,0
1,0,2,0,1,1,5,0,0,1,1,2,0,1,2,0,3,0,0,0,0,0,0,0,119,1,1,1,0,1,0,1
1,0,2,0,3,2,1,0,1,0,1,3,5,2,2,0,0,1,0,1,1,0,0,0,1,110,1,0,0,0,2,4
0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,1,2,0,1,0,0,0,0,129,2,0,0,1,2
0,1,1,1,4,1,0,0,0,0,0,1,0,0,1,6,1,1,0,2,0,1,1,0,0,2,1,114,1,0,1,3
0,2,3,4,1,1,3,0,1,1,3,1,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,112,2,0,4
0,0,1,0,3,4,1,0,0,0,0,3,0,0,0,0,1,2,1,0,0,0,0,0,1,0,2,0,1,122,0,2
1,1,0,0,1,1,0,0,4,0,0,1,2,0,0,0,0,2,0,1,0,0,0,0,0,3,1,3,2,1,118,2
1,2,1,4,1,1,1,0,1,0,0,1,2,0,2,0,2,1,2,2,3,0,1,0,3,0,1,4,1,2,1,104
