adapter_a,adapter_b,row_weighted_training_centroid_distance,unique_tuple_training_centroid_distance,binary_0_100_corner_distance_for_context_only,activation_centroid_distance_mean_all_conditions_layers,activation_centroid_distance_median_all_conditions_layers,activation_prompt_pair_distance_mean_all_conditions_layers,activation_prompt_pair_distance_median_middle_layers_8_24,adapter_a_effect_mean_delta_l2_all_conditions_layers,adapter_b_effect_mean_delta_l2_all_conditions_layers,adapter_effect_magnitude_absolute_difference,adapter_effect_magnitude_rss,adapter_a_effect_median_middle_layers_8_24,adapter_b_effect_median_middle_layers_8_24,pooled_within_class_rms,pooled_within_rms_over_row_centroid_separation,behavioral_interface,behavioral_ocean_score_distance
ptype_0,ptype_31,107.24107393515828,112.3667395949658,223.60679774997897,4.154015633689447,2.25731367894726,6.383051618623393,3.944328020421729,10.122415235083334,10.179264146145833,0.056848911062498786,14.355511441549453,6.5646248499999995,6.524187700000001,31.573877411032118,0.29441963095336765,A_label_rotation,2.2989968431498915
ptype_0,ptype_31,107.24107393515828,112.3667395949658,223.60679774997897,4.154015633689447,2.25731367894726,6.383051618623393,3.944328020421729,10.122415235083334,10.179264146145833,0.056848911062498786,14.355511441549453,6.5646248499999995,6.524187700000001,31.573877411032118,0.29441963095336765,B_context_calibrated_labels,5.051378197833769
ptype_0,ptype_31,107.24107393515828,112.3667395949658,223.60679774997897,4.154015633689447,2.25731367894726,6.383051618623393,3.944328020421729,10.122415235083334,10.179264146145833,0.056848911062498786,14.355511441549453,6.5646248499999995,6.524187700000001,31.573877411032118,0.29441963095336765,C_calibrated_verbal_anchors,0.9493704581497894
ptype_0,ptype_9,79.30645055250206,77.45727759371535,141.4213562373095,3.9872507023458468,2.2768165172025894,6.257672407130031,4.080310855828607,10.122415235083334,10.611998061354166,0.4895828262708317,14.665530779539885,6.5646248499999995,6.6934874,33.034577768390186,0.4165433900804929,A_label_rotation,5.846501147835387
ptype_0,ptype_9,79.30645055250206,77.45727759371535,141.4213562373095,3.9872507023458468,2.2768165172025894,6.257672407130031,4.080310855828607,10.122415235083334,10.611998061354166,0.4895828262708317,14.665530779539885,6.5646248499999995,6.6934874,33.034577768390186,0.4165433900804929,B_context_calibrated_labels,5.307920118859738
ptype_0,ptype_9,79.30645055250206,77.45727759371535,141.4213562373095,3.9872507023458468,2.2768165172025894,6.257672407130031,4.080310855828607,10.122415235083334,10.611998061354166,0.4895828262708317,14.665530779539885,6.5646248499999995,6.6934874,33.034577768390186,0.4165433900804929,C_calibrated_verbal_anchors,1.487899587190957
ptype_0,ptype_23,95.3684856062036,98.23739141948438,200.0,6.154521301598275,3.6470338984641524,8.461202242644399,5.353407529149546,10.122415235083334,5.5683779529218755,4.554037282161459,11.552927041145617,6.5646248499999995,3.2719522999999997,28.686269051082995,0.3007940083009663,A_label_rotation,2.56365127949609
ptype_0,ptype_23,95.3684856062036,98.23739141948438,200.0,6.154521301598275,3.6470338984641524,8.461202242644399,5.353407529149546,10.122415235083334,5.5683779529218755,4.554037282161459,11.552927041145617,6.5646248499999995,3.2719522999999997,28.686269051082995,0.3007940083009663,B_context_calibrated_labels,4.5631182089165225
ptype_0,ptype_23,95.3684856062036,98.23739141948438,200.0,6.154521301598275,3.6470338984641524,8.461202242644399,5.353407529149546,10.122415235083334,5.5683779529218755,4.554037282161459,11.552927041145617,6.5646248499999995,3.2719522999999997,28.686269051082995,0.3007940083009663,C_calibrated_verbal_anchors,1.3214264375531704
ptype_31,ptype_9,97.52339451301717,93.17285786482336,173.20508075688772,4.322203256759958,2.3638446935703943,6.499052875990823,4.1133926900747655,10.179264146145833,10.611998061354166,0.43273391520833293,14.70482646654474,6.524187700000001,6.6934874,30.96184361637588,0.3174811928049036,A_label_rotation,4.040083275634546
ptype_31,ptype_9,97.52339451301717,93.17285786482336,173.20508075688772,4.322203256759958,2.3638446935703943,6.499052875990823,4.1133926900747655,10.179264146145833,10.611998061354166,0.43273391520833293,14.70482646654474,6.524187700000001,6.6934874,30.96184361637588,0.3174811928049036,B_context_calibrated_labels,1.1364580500353938
ptype_31,ptype_9,97.52339451301717,93.17285786482336,173.20508075688772,4.322203256759958,2.3638446935703943,6.499052875990823,4.1133926900747655,10.179264146145833,10.611998061354166,0.43273391520833293,14.70482646654474,6.524187700000001,6.6934874,30.96184361637588,0.3174811928049036,C_calibrated_verbal_anchors,0.7932387732530048
ptype_31,ptype_23,67.75880033399083,67.56318459480022,100.0,6.232177666542697,3.608999433086009,8.311829516308585,5.210983354226585,10.179264146145833,5.5683779529218755,4.6108861932239575,11.602769134288438,6.524187700000001,3.2719522999999997,26.27269426344049,0.3877384802260281,A_label_rotation,0.9211924558124479
ptype_31,ptype_23,67.75880033399083,67.56318459480022,100.0,6.232177666542697,3.608999433086009,8.311829516308585,5.210983354226585,10.179264146145833,5.5683779529218755,4.6108861932239575,11.602769134288438,6.524187700000001,3.2719522999999997,26.27269426344049,0.3877384802260281,B_context_calibrated_labels,0.9969412883011587
ptype_31,ptype_23,67.75880033399083,67.56318459480022,100.0,6.232177666542697,3.608999433086009,8.311829516308585,5.210983354226585,10.179264146145833,5.5683779529218755,4.6108861932239575,11.602769134288438,6.524187700000001,3.2719522999999997,26.27269426344049,0.3877384802260281,C_calibrated_verbal_anchors,1.8945498987209715
ptype_9,ptype_23,109.695441732504,113.2254907989657,200.0,6.6517627995471775,3.5330552323553546,8.861510453874413,5.422208685216029,10.611998061354166,5.5683779529218755,5.0436201084322905,11.984211942417032,6.6934874,3.2719522999999997,28.01121306600544,0.2553543941626282,A_label_rotation,4.030683951277616
ptype_9,ptype_23,109.695441732504,113.2254907989657,200.0,6.6517627995471775,3.5330552323553546,8.861510453874413,5.422208685216029,10.611998061354166,5.5683779529218755,5.0436201084322905,11.984211942417032,6.6934874,3.2719522999999997,28.01121306600544,0.2553543941626282,B_context_calibrated_labels,1.6483503686601675
ptype_9,ptype_23,109.695441732504,113.2254907989657,200.0,6.6517627995471775,3.5330552323553546,8.861510453874413,5.422208685216029,10.611998061354166,5.5683779529218755,5.0436201084322905,11.984211942417032,6.6934874,3.2719522999999997,28.01121306600544,0.2553543941626282,C_calibrated_verbal_anchors,2.5334627015663607
